name,email,mobile,address
Kishore,kishore309@gmail.com,9835847972,Pune
Lokesh,lokesh489@gmail.com,9879744557,Hyderabad
Ajay,ajay280@gmail.com,9205777629,Mumbai
Ravi,ravi624@gmail.com,9693547237,Coimbatore
Naveen,naveen959@gmail.com,9956567915,Bangalore
name,email,mobile,address
Kishore,kishore309@gmail.com,9835847972,Pune
Lokesh,lokesh489@gmail.com,9879744557,Hyderabad
Ajay,ajay280@gmail.com,9205777629,Mumbai
Ravi,ravi624@gmail.com,9693547237,Coimbatore
Naveen,naveen959@gmail.com,9956567915,Bangalore
